0,raw_designs/vtr_designs/verilog/LU32PEEng.v.out,17120,336366,6565,187642,9,33548,0,13859
1,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/DataTransferUnit.v.out,409,25522,158,17012,4,4492,0,335
2,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/LU.v.out,16429,303315,6309,164319,5,29056,0,13304
3,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/LUControl.v.out,480,8077,214,5911,0,0,0,463
4,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/MarshallerController.v.out,232,1700,49,483,0,0,0,217
5,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/addr_fifo.v.out,45,206,22,92,1,28,0,33
6,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/assemble.v.out,16,257,12,163,0,0,0,7
7,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/div_24b.v.out,75,2076,28,1247,0,0,0,94
8,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/dual_port_ram.v.out,17,2603,9,1047,1,2560,0,12
9,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/exponent.v.out,10,130,5,32,0,0,0,6
10,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/flag.v.out,10,14,7,11,0,0,0,5
11,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/fpmul.v.out,344,4098,157,1978,0,0,0,239
12,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/fpu_add.v.out,126,1419,11,243,0,0,0,148
13,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/fpu_div.v.out,137,3170,40,1442,0,0,0,176
14,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/memcmd_fifo.v.out,45,494,22,281,1,112,0,33
15,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/mult_add.v.out,480,5779,178,2483,0,0,0,389
16,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/multiply_a.v.out,4,97,4,97,0,0,0,1
17,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/normalize.v.out,7,148,4,98,0,0,0,4
18,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/prenorm.v.out,108,1792,14,210,0,0,0,98
19,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/preprocess.v.out,31,153,23,145,0,0,0,21
20,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/ram.v.out,28,16559,20,10401,1,7168,0,14
21,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/ram1.v.out,28,16559,20,10401,1,7168,0,14
22,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/ram2.v.out,28,16559,20,10401,1,7168,0,14
23,raw_designs/vtr_designs/verilog/LU32PEEng_submodules/ram3.v.out,28,16559,20,10401,1,7168,0,14
